/wiki/64th_(2nd_Staffordshire)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Infantry,Line Infantry,,"Whittington Barracks , Staffordshire",The Black Knots,,Romaika,"Seven Years' War , American War of Independence , Napoleonic Wars , Anglo-Persian War , Indian Rebellion",,One battalion,,,Guadeloupe 1759; Martinique 1794; St Lucia 1803; Surinam; Reshire; Bushire; Koosh-Ab; Persia; Lucknow,"1881, amalgamated with 98th Foot to become The Prince of Wales's (North Staffordshire) Regiment"
"/wiki/65th_(2nd_Yorkshire,_North_Riding)_Regiment_of_Foot",10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Line infantry,,,"Pontefract Barracks , Yorkshire",The Royal Tigers Hickety Pips,,,Seven Years' War American War of Independence Anglo-French War Napoleonic Wars,,One battalion,,,,
/wiki/66th_(Berkshire)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Line infantry,,,"Brock Barracks , Reading",,,,Napoleonic Wars Anglo-Nepalese War Second Anglo-Afghan War,,One battalion (two battalions 1803–1816),,,,
/wiki/67th_(South_Hampshire)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Line infantry,,,"Lower Barracks , Winchester",,,,Napoleonic Wars Second Opium War Second Anglo-Afghan War,,One battalion (two battalions 1803–1817),,,,
/wiki/68th_(Durham)_Regiment_of_Foot_(Light_Infantry),1756-1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,"Infantry, Light Infantry",,,Sunderland Barracks,,Faithful,"I'm Ninety Five, (1856-1881) [5]",Seven Years' War Peninsular War Crimean War New Zealand Wars,,One Battalion Two between May 1800 and September 1802,Inkerman Day (5 November),,,
/wiki/69th_(South_Lincolnshire)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Maindy Barracks , Cardiff",The Ups and Downs,,,Seven Years' War Napoleonic Wars Fenian raids,,One battalion (two battalions 1795–1796 and 1803–1816),,,,
/wiki/70th_(Surrey)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"The Barracks, Kingston upon Thames",,,,American Revolutionary War Napoleonic Wars War of 1812 Indian Rebellion Second Anglo-Afghan War,,One battalion,,,,
/wiki/71st_(Highland)_Regiment_of_Foot,19 December 1777–1 July 1881,  Kingdom of Great Britain (1777–1800)   United Kingdom (1801–1881),  British Army,Infantry,Light infantry,,"Cameron Barracks , Inverness",,,,Second Anglo-Mysore War Third Anglo-Mysore War French Revolutionary Wars Napoleonic Wars Crimean War Indian Rebellion Ambela Campaign,,"One battalion (two battalions 1778–1783, 1804–1815)",,,,
/wiki/72nd_(Duke_of_Albany%2527s_Own_Highlanders)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/73rd_(Perthshire)_Regiment_of_Foot,1780–1881,  Kingdom of Great Britain (1780–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,Hamilton Barracks,,,,Second Anglo-Mysore War Third Anglo-Mysore War French Revolutionary Wars Fourth Anglo-Mysore War Napoleonic Wars Second Kandyan War Uva Rebellion Seventh Xhosa War Indian Rebellion,,One battalion (two battalions 1809–1817),,,,
/wiki/74th_(Highland)_Regiment_of_Foot,1787–1881,  Kingdom of Great Britain (1787–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,Hamilton Barracks,,,,Third Anglo-Mysore War Fourth Anglo-Mysore War First Anglo-Maratha War Second Anglo-Maratha War Napoleonic Wars Eighth Xhosa War Indian Rebellion,,One battalion,,,,
/wiki/75th_(Stirlingshire)_Regiment_of_Foot,1787–1881,  Kingdom of Great Britain (1787–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,Dorchester Barracks,,,,Third Anglo-Mysore War Fourth Anglo-Mysore War Second Anglo-Maratha War Napoleonic Wars Indian Rebellion,,One battalion,,,,
/wiki/76th_Regiment_of_Foot,1787–1881,  Kingdom of Great Britain (1787–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Wellesley Barracks , Halifax",The Immortals The Pigs The Old Seven and Sixpennies,none,Quick: Scotland the Brave Slow: Logie o'Buchan,Third Anglo-Mysore War Second Anglo-Maratha War Napoleonic Wars War of 1812,,11 Companies,,,,
/wiki/77th_(East_Middlesex)_Regiment_of_Foot,1787–1881,  Kingdom of Great Britain (1787–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,Hounslow Barracks,,,,Third Anglo-Mysore War Fourth Anglo-Mysore War Polygar Wars Napoleonic Wars Crimean War Indian Rebellion,,One battalion,,,,
/wiki/78th_(Highlanders)_Regiment_of_Foot,1793–1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Infantry Regiment,Infantry,,"Cameron Barracks , Inverness",,,,French Revolutionary Wars Second Anglo-Maratha War Napoleonic Wars First Anglo-Afghan War Anglo-Persian War Indian Rebellion,,,,,,
/wiki/79th_Regiment_of_Foot_(1757),,,,,,,,,,,,,,,,,
/wiki/Queen%2527s_Own_Cameron_Highlanders,,,,,,,,,,,,,,,,,
/wiki/80th_Regiment_of_Light-Armed_Foot,,,,,,,,,,,,,,,,,
/wiki/81st_(Loyal_Lincoln_Volunteers)_Regiment_of_Foot,1793–1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Infantry Regiment,Infantry,,"Fulwood Barracks , Lancashire",,Loyaute m'oblige,"""The Red, Red Rose"" and "" The Lincolnshire Poacher """,French Revolutionary Wars Napoleonic Wars Second Anglo-Afghan War,,,,,,
/wiki/82nd_Regiment_of_Foot_(1777),,,,,,,,,,,,,,,,,
/wiki/82nd_(The_Prince_of_Wales%2527s_Volunteers)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/83rd_Regiment_of_Foot_(Royal_Glasgow_Volunteers),,,,,,,,,,,,,,,,,
/wiki/83rd_(County_of_Dublin)_Regiment_of_Foot,1793–1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Victoria Barracks, Belfast",,,,,,,,,"Cape of Good Hope, 1806; Talavera; Busaco; Ciudad Rodrigo; Badajoz; Salamanca; Vittoria; Nivelle; Orthez; Toulouse; Peninsula; Central India.",
/wiki/84th_Regiment_of_Foot_(1759),1758–1765,  Kingdom of Great Britain,  British Army,Line Infantry,,,,,,,Second Carnatic War Bengal War,,,,Sir Eyre Coote,,
/wiki/84th_Regiment_of_Foot_(Royal_Highland_Emigrants),1775–1784,  Great Britain,British provincial unit,line infantry ( auxiliary troops ),infantry,,"Fort Edward , Province of New York","Royal Highland Emigrants (1st Battalion), Young Highlanders (2nd Battalion)",Quicquid aut facere aut pati (Whatever either is to be done or endured),,"American Revolutionary War First Battalion: Fort St. John's , Quebec (1775) Quebec City , Quebec (1775) Moore's Creek Bridge , North Carolina (1776) Upper New York Raid (1777), Raid on Lake Champlain (1778), Raids on Mohawk Valley, New York (1780, 1781, 1782) Second Battalion: Siege of Boston , Massachusetts (1775) Charleston , South Carolina (1776) Long Island , New York (1776) Newcastle Jane, Nfld (1776) Newport, Rhode Island (1776) Fort Howe , St. John, New Brunswick (1777) Penobscot River, Maine (1778) Cape Sable, Nova Scotia (1778) Penobscot River, Maine (1779) Bay of Fundy, (1779) Raids on Mohawk Valley, New York (1780) Hampton Roads, Virginia (1780) Charlestown, South Carolina (1780-84) Tompkins' Bridges, Virginia (1781) Fort Motte , South Carolina (1781) Eutaw Springs , South Carolina (1781) Wiggin's Hill, Georgia (1781) Fair Lawn, South Carolina (1781) Wimboo Swamp, North Carolina (1781) Combahee River , South Carolina (1782)",,two battalions,,Allan Maclean (1st Battalion) John Small (2nd Battalion),,
/wiki/84th_(York_and_Lancaster)_Regiment_of_Foot,1793–1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Pontefract Barracks , Yorkshire",The Young and Lovelies The Tigers,,,French Revolutionary Wars Third Anglo-Maratha War Napoleonic Wars Indian Rebellion,,"One battalion (two battalions 1793–1795, 1808–1819)",,,,
/wiki/85th_Regiment_of_Foot_(Bucks_Volunteers),1793 - 1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Cowley Barracks , Oxford",,,,French Revolutionary Wars Napoleonic Wars Second Anglo-Afghan War,,One battalion (two battalions 1800–1802),,,,
/wiki/86th_Regiment_of_Foot_(Rutland_Regiment),,,,,,,,,,,,,,,,,
/wiki/86th_(Royal_County_Down)_Regiment_of_Foot,1793–1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Victoria Barracks, Belfast",,,,French Revolutionary Wars Second Anglo-Maratha War Napoleonic Wars Indian Rebellion,,One battalion (two battalions 1813–1814),,,,
/wiki/87th_Regiment_of_Foot_(Keith%2527s_Highlanders),,,,,,,,,,,,,,,,,
/wiki/87th_(Royal_Irish_Fusiliers)_Regiment_of_Foot,1793–1881,  Kingdom of Great Britain (1793–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Renmore Barracks , Galway",,,,French Revolutionary Wars Napoleonic Wars First Anglo-Burmese War Indian Rebellion,,One battalion (two battalions 1804–1817),,,,
/wiki/88th_Regiment_of_Foot_(Highland_Volunteers),,,,,,,,,,,,,,,,,
/wiki/88th_Regiment_of_Foot_(Connaught_Rangers),1793–1881,  Kingdom of Great Britain (1787–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Line Infantry,,"Renmore Barracks , Galway",The Devils Own,Quis Separabit (Who shall separate us?),,French Revolutionary Wars Napoleonic Wars Crimean War Indian Rebellion,,1 battalions (two battalions 1805–1816),,,,
/wiki/89th_(Princess_Victoria%2527s)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/90th_Regiment_of_Foot_(Perthshire_Volunteers),1794–1881,  Kingdom of Great Britain (1794–1800)   United Kingdom (1801–1881),  British Army,Light Infantry,,,Hamilton Barracks,,,,French Revolutionary Wars Napoleonic Wars,,One battalion (two battalions 1794–1795 and 1804–1817),,"Thomas Graham, Lord Lynedoch",,
/wiki/91st_(Princess_Louise%2527s_Argyllshire_Highlanders)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/92nd_(Gordon_Highlanders)_Regiment_of_Foot,1794–1881,  Kingdom of Great Britain (1794–1800)   United Kingdom (1801–1881),  British Army,Highland Infantry Regiment,,,"Castlehill Barracks , Aberdeen",,,,Napoleonic Wars Crimean War Indian Rebellion,,One battalion (two battalions 1803–1814),,,,
/wiki/93rd_(Sutherland_Highlanders)_Regiment_of_Foot,1799–1881,  Kingdom of Great Britain (1799–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Castlehill Barracks , Aberdeen",,,The Thin Red Line Highland Laddie The Campbell March,Napoleonic Wars War of 1812 Crimean War Indian Rebellion,,One battalion (two battalions 1813–1816),,,,
/wiki/94th_Regiment_of_Foot,1794–1818 1823–1881,  Kingdom of Great Britain (1794–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Infantry,,"Gough Barracks , Armagh",,,,Fourth Anglo-Mysore War Second Anglo-Maratha War Napoleonic Wars Mappila riots Anglo-Zulu War Basuto Gun War First Boer War,,One battalion,,,,
/wiki/Rifle_Brigade_(Prince_Consort%2527s_Own),,,,,,,,,,,,,,,,,
/wiki/96th_Regiment_of_Foot_(1803),1803–1818,  United Kingdom,  British Army,Line Infantry,,,,,,,,,Two battalions,,,,
/wiki/95th_(Derbyshire)_Regiment_of_Foot,1823–1881,  United Kingdom,  British Army,Line Infantry,,,"Normanton Barracks , Derbyshire",The Nails,,,Crimean War Indian Rebellion,,One battalion,,,,
/wiki/96th_Regiment_of_Foot_(1803),1803–1818,  United Kingdom,  British Army,Line Infantry,,,,,,,,,Two battalions,,,,
/wiki/96th_Regiment_of_Foot,1798–1818 1824–1881,  Kingdom of Great Britain (1798–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,,,,,French Revolutionary Wars Napoleonic Wars New Zealand Wars,,,,,,
/wiki/97th_(The_Earl_of_Ulster%2527s)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/98th_(The_Prince_of_Wales%2527s)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/99th_(Lanarkshire)_Regiment_of_Foot,20 September 1824 – 1 July 1881,  United Kingdom,  British Army,Infantry,Line Infantry,,"Le Marchant Barracks , Devizes","""Queen's Pets"", ""The Nines""",,"""Blue Bonnets Over The Border"" (traditional)(quick) ""Auld Robin Grey"" (slow)",New Zealand Wars Second Opium War Anglo-Zulu War,,Battalion,,,,
/wiki/100th_Regiment_of_Foot_(Prince_Regent%2527s_County_of_Dublin_Regiment),,,,,,,,,,,,,,,,,
/wiki/New_South_Wales_Corps,1789–1810,  United Kingdom,  British Army,Line Infantry,,,,"Rum Corps , Botany Bay Rangers , Rum Puncheon Corps , The Condemned .",,,Battle of Vinegar Hill (1804) Rum Rebellion (1808),,One battalion,,,,
/wiki/100th_(Prince_of_Wales%2527s_Royal_Canadian)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/101st_Regiment_of_Foot_(Royal_Bengal_Fusiliers),1652–1881,East India Company (1652–1858)   United Kingdom (1858–1881),Bengal Army (1652–1862)   British Army (1862–1881),Infantry,,,"Ballymullen Barracks , Tralee",,,,Seven Years' War Campaign against the Mughal Empire First Rohilla War Second Anglo-Mysore War First Anglo-Maratha War Second Rohilla War Second Anglo-Maratha War Third Anglo-Maratha War First Anglo-Afghan War First Anglo-Sikh War Second Anglo-Burmese War Indian Rebellion Ambela Campaign,,One battalion (two battalions 1786–1803 and 1822–1829; three battalions 1786–1798),,,,
/wiki/102nd_Regiment_of_Foot_(Royal_Madras_Fusiliers),1742–1881,East India Company (1742–1858)   United Kingdom (1858–1881),Madras Army (1742–1862)   British Army (1862–1881),Line Infantry,Light Infantry,,"Naas Barracks , County Kildare",,,Quick: Slow:,Second Carnatic War Seven Years' War Third Carnatic War Third Anglo-Mysore War Third Anglo-Maratha War First Anglo-Burmese War Second Anglo-Burmese War Indian Rebellion,,One battalion (two battalions 1774–1799 and 1824–1830),,,,
/wiki/103rd_Regiment_of_Foot_(1806),,,,,,,,,,,,,,,,,
/wiki/103rd_Regiment_of_Foot_(Royal_Bombay_Fusiliers),1662–1881,East India Company (1662–1858)   United Kingdom (1858–1881),Bombay Army (1662–1862)   British Army (1862–1881),,Infantry,,"Naas Barracks , County Kildare",,,,Seven Years' War Third Anglo-Mysore War Third Anglo-Maratha War Fourth Anglo-Mysore War Second Anglo-Sikh War Indian Rebellion,,One battalion,,,,
/wiki/104th_Regiment_of_Foot_(Bengal_Fusiliers),1765–1803 1822–1830 1839–1881,East India Company (1765–1858)   United Kingdom (1858–1881),Bengal Army (1765–1862)   British Army (1862–1881),Infantry,,,"Ballymullen Barracks , Tralee",,,,First Rohilla War Second Anglo-Sikh War Second Anglo-Burmese War Indian Rebellion,,One battalion,,,,
/wiki/105th_Regiment_of_Foot_(Queen%2527s_Own_Royal_Regiment_of_Highlanders),,,,,,,,,,,,,,,,,
/wiki/Volunteers_of_Ireland,1778–1784,  Great Britain,infantry,"British provincial unit and later, became British establishment",,,,,,,American Revolutionary War Charleston (1780) Battle of Camden (1780) Battle of Hobkirk's Hill (1781) Siege of Ninety-Six (1781),,"regiment (1,000)",,Colonel Lord Francis Rawdon-Hastings Sergeant Thomas Hudson,,
/wiki/105th_Regiment_of_Foot_(Madras_Light_Infantry),1766–1799 1824–1830 1839–1881,East India Company (1766–1858)   United Kingdom (1858–1881),Madras Army (1766–1862)   British Army (1862–1881),Infantry,,,"Pontefract Barracks , West Riding of Yorkshire",,,,Second Anglo-Burmese War Indian Rebellion,,One battalion (two battalions 1774–1799),,,,
/wiki/106th_Regiment_of_Foot_(Black_Musqueteers),,,,,,,,,,,,,,,,,
/wiki/106th_Regiment_of_Foot_(Bombay_Light_Infantry),1839-1881,East India Company (1839–1858)   United Kingdom (1858–1881),Bombay Army (1839–1862)   British Army (1862–1881),light infantry,,,Sunderland Barracks from 1872 [1],,,"""Paddy Carey""",,,One battalion,,,,
/wiki/107th_Regiment_of_Foot_(Queen%2527s_Own_Royal_Regiment_of_British_Volunteers),,,,,,,,,,,,,,,,,
/wiki/107th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/107th_Regiment_of_Foot_(Bengal_Light_Infantry),1765–1798 1854–1881,East India Company (1765–1858)   United Kingdom (1858–1881),Bengal Army (1765–1862)   British Army (1862–1881),Infantry,,,"Roussillon Barracks , Chichester",,,,Indian Rebellion,,One battalion (two battalions 1779–1781),,,,
/wiki/108th_Regiment_of_Foot_(Madras_Infantry),1766–1774 1777–1796 1854–1881,East India Company (1766–1858)   United Kingdom (1858–1881),Madras Army (1766–1862)   British Army (1862–1881),Infantry,,,"St Lucia Barracks, Omagh",,,,Indian Rebellion,,One battalion (two battalions 1777–1796),,,,
/wiki/109th_Regiment_of_Foot,1853–1881,East India Company (1853–1858)   United Kingdom (1858–1881),Bombay Army (1853–1862)   British Army (1862–1881),Infantry,,,"Crinkill Barracks , Birr, County Offaly",,,,Indian Rebellion,,One battalion,,,,
/wiki/109th_(Aberdeenshire)_Regiment_of_Foot,1794–1795,United Kingdom,Army,Line Infantry,Infantry,,,,,,,,One battalion,,Alexander Leith Hay,,
/wiki/109th_Regiment_of_Foot_(Bombay_Infantry),1853–1881,East India Company (1853–1858)   United Kingdom (1858–1881),Bombay Army (1853–1862)   British Army (1862–1881),Infantry,,,"Crinkill Barracks , Birr, County Offaly",,,,Indian Rebellion,,One battalion,,,,
/wiki/110th_Regiment_of_Foot_(Queen%2527s_Royal_Musqueteers),,,,,,,,,,,,,,,,,
/wiki/110th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/111th_Regiment_of_Foot_(1761),,,,,,,,,,,,,,,,,
/wiki/111th_Regiment_of_Foot_(Loyal_Birmingham_Volunteers),,,,,,,,,,,,,,,,,
/wiki/112th_Regiment_of_Foot_(King%2527s_Royal_Musqueteers),,,,,,,,,,,,,,,,,
/wiki/112th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/113th_Regiment_of_Foot_(Royal_Highlanders),1761–1763,  United Kingdom,  British Army,Infantry,,,,Royal Highlanders,,,,,,,James Inglis Hamilton,,1763 (Due to the war ending)
/wiki/113th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/114th_Regiment_of_Foot_(1761),,,,,,,,,,,,,,,,,
/wiki/114th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/115th_Regiment_of_Foot_(1761),,,,,,,,,,,,,,,,,
/wiki/115th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/73rd_Regiment_of_Foot_(Invalids),,,,,,,,,,,,,,,,,
/wiki/116th_(Perthshire_Highlanders)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/74th_Regiment_of_Foot_(Invalids),,,,,,,,,,,,,,,,,
/wiki/117th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/75th_Regiment_of_Foot_(Invalids),,,,,,,,,,,,,,,,,
/wiki/118th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/119th_(The_Prince%2527s_Own)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/119th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/120th_Regiment_of_Foot_(1763),,,,,,,,,,,,,,,,,
/wiki/120th_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/121st_Regiment_of_Foot_(1762),,,,,,,,,,,,,,,,,
/wiki/121st_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/122nd_Regiment_of_Foot_(1762),,,,,,,,,,,,,,,,,
/wiki/122nd_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/123rd_Regiment_of_Foot_(1762),,,,,,,,,,,,,,,,,
/wiki/123rd_Regiment_of_Foot_(1794),,,,,,,,,,,,,,,,,
/wiki/124th_Regiment_of_Foot_(1762),,,,,,,,,,,,,,,,,
/wiki/124th_(Waterford)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/125th_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/126th_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/127th_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/128th_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/129th_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/130th_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/131st_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/132nd_(Highland)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/133rd_(Highland)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/134th_(Loyal_Limerick)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
/wiki/135th_(Limerick)_Regiment_of_Foot,,,,,,,,,,,,,,,,,
